# lgT[K] lgg[cm/s2] mu lgE[keV] lgI[erg/s/cm2/sr/keV]
# MAGNUS, fatia theta_B = 0 graus; lg I = lg(B_E(T_ef)) + lg w
5.69897 14.3800 0.237234 0.53733 10.88944
5.69897 14.3800 0.237234 0.55509 10.57044
5.69897 14.3800 0.237234 0.57285 10.24372
5.69897 14.3800 0.237234 0.59061 9.95926
5.69897 14.3800 0.237234 0.60837 9.56215
5.69897 14.3800 0.237234 0.62613 9.29758
5.69897 14.3800 0.237234 0.64389 8.91384
5.69897 14.3800 0.237234 0.66165 8.43910
5.69897 14.3800 0.237234 0.67941 6.56185
5.69897 14.3800 0.237234 0.69718 4.60402
5.69897 14.3800 0.237234 0.71494 2.56225
5.69897 14.3800 0.237234 0.73270 0.43301
5.69897 14.3800 0.237234 0.75046 -1.78732
5.69897 14.3800 0.237234 0.76822 -4.10257
5.69897 14.3800 0.237234 0.78598 -6.51668
5.69897 14.3800 0.237234 0.80374 -9.03378
5.69897 14.3800 0.237234 0.82150 -11.65819
5.69897 14.3800 0.237234 0.83926 -14.39436
5.69897 14.3800 0.237234 0.85702 -17.24698
5.69897 14.3800 0.237234 0.87478 -20.22089
5.69897 14.3800 0.237234 0.89254 -23.32117
5.69897 14.3800 0.237234 0.91030 -26.55309
5.69897 14.3800 0.237234 0.92806 -29.92213
5.69897 14.3800 0.237234 0.94582 -33.43404
5.69897 14.3800 0.237234 0.96358 -37.09476
5.69897 14.3800 0.237234 0.98134 -40.91051
5.69897 14.3800 0.237234 0.99910 -44.88778
5.69897 14.3800 0.237234 1.01686 -49.03329
5.69897 14.3800 0.237234 1.03462 -53.35406
5.69897 14.3800 0.237234 1.05238 -57.85741
5.69897 14.3800 0.237234 1.07014 -62.55100
5.69897 14.3800 0.237234 1.08790 -67.44270
5.69897 14.3800 0.237234 1.10567 -72.54082
5.69897 14.3800 0.237234 1.12343 -77.85400
5.69897 14.3800 0.237234 1.14119 -83.39116
5.69897 14.3800 0.237234 1.15895 -89.16168
5.69897 14.3800 0.237234 1.17671 -95.17530
5.69897 14.3800 0.237234 1.19447 -101.44221
5.69897 14.3800 0.237234 1.21223 -107.97290
5.69897 14.3800 0.237234 1.22999 -114.77842
5.69897 14.3800 0.237234 1.24775 -121.87029
5.69897 14.3800 0.237234 1.26551 -129.26037
5.69897 14.3800 0.237234 1.28327 -136.96116
5.69897 14.3800 0.237234 1.30103 -144.98567
5.69897 14.3800 0.408283 -1.52288 18.18821
5.69897 14.3800 0.408283 -1.50512 18.21398
5.69897 14.3800 0.408283 -1.48736 18.23818
5.69897 14.3800 0.408283 -1.46960 18.26123
5.69897 14.3800 0.408283 -1.45184 18.28782
5.69897 14.3800 0.408283 -1.43408 18.31349
5.69897 14.3800 0.408283 -1.41632 18.33470
5.69897 14.3800 0.408283 -1.39856 18.35566
5.69897 14.3800 0.408283 -1.38080 18.37636
5.69897 14.3800 0.408283 -1.36303 18.39914
5.69897 14.3800 0.408283 -1.34527 18.42188
5.69897 14.3800 0.408283 -1.32751 18.44169
5.69897 14.3800 0.408283 -1.30975 18.46227
5.69897 14.3800 0.408283 -1.29199 18.48390
5.69897 14.3800 0.408283 -1.27423 18.50313
5.69897 14.3800 0.408283 -1.25647 18.52153
5.69897 14.3800 0.408283 -1.23871 18.54199
5.69897 14.3800 0.408283 -1.22095 18.56075
5.69897 14.3800 0.408283 -1.20319 18.57643
5.69897 14.3800 0.408283 -1.18543 18.59200
5.69897 14.3800 0.408283 -1.16767 18.60754
5.69897 14.3800 0.408283 -1.14991 18.62109
5.69897 14.3800 0.408283 -1.13215 18.63472
5.69897 14.3800 0.408283 -1.11439 18.64861
5.69897 14.3800 0.408283 -1.09663 18.65915
5.69897 14.3800 0.408283 -1.07887 18.66724
5.69897 14.3800 0.408283 -1.06111 18.67502
5.69897 14.3800 0.408283 -1.04335 18.68198
5.69897 14.3800 0.408283 -1.02559 18.68511
5.69897 14.3800 0.408283 -1.00783 18.68648
5.69897 14.3800 0.408283 -0.99007 18.68596
5.69897 14.3800 0.408283 -0.97231 18.68177
5.69897 14.3800 0.408283 -0.95454 18.67590
5.69897 14.3800 0.408283 -0.93678 18.66527
5.69897 14.3800 0.408283 -0.91902 18.65183
5.69897 14.3800 0.408283 -0.90126 18.63430
5.69897 14.3800 0.408283 -0.88350 18.61117
5.69897 14.3800 0.408283 -0.86574 18.58384
5.69897 14.3800 0.408283 -0.84798 18.54759
5.69897 14.3800 0.408283 -0.83022 18.50475
5.69897 14.3800 0.408283 -0.81246 18.45171
5.69897 14.3800 0.408283 -0.79470 18.38619
5.69897 14.3800 0.408283 -0.77694 18.30388
5.69897 14.3800 0.408283 -0.75918 18.19512
5.69897 14.3800 0.408283 -0.74142 18.03853
